student_id;gender;age;age_group;mobility_restriction;student_status;campus;distance_km;distance_category;archetype;max_budget_eur;max_travel_time_min;max_walking_distance_m;environmental_attitude
STU_0001;Male;20;18-25;No;Alternance;Nancy;2.65;Medium;Comfort_Seeking;3.0;28.4;1006;4
STU_0002;Female;22;18-25;No;Student;Strasbourg;5.16;Long;Eco_Conscious;6.35;36.1;1196;4
STU_0003;Female;43;36-45;No;Alternance;Strasbourg;1.67;Short;Eco_Conscious;3.87;11.3;1801;3
STU_0004;Male;25;18-25;Yes;Student;Strasbourg;5.55;Long;Comfort_Seeking;1.0;35.5;761;2
STU_0005;Male;19;18-25;No;Alternance;Strasbourg;3.48;Medium;Eco_Conscious;5.12;28.2;932;3
STU_0006;Male;23;18-25;No;Alternance;Strasbourg;9.18;Long;Cost_Sensitive;8.58;63.4;1089;4
STU_0007;Male;30;26-35;No;Student;Strasbourg;6.27;Long;Time_Sensitive;5.56;40.2;1523;4
STU_0008;Female;22;18-25;No;Student;Strasbourg;8.01;Long;Comfort_Seeking;9.74;52.9;936;2
STU_0009;Male;19;18-25;No;Alternance;Nancy;2.71;Medium;Time_Sensitive;6.44;18.8;1584;4
STU_0010;Female;34;26-35;No;Student;Strasbourg;7.78;Long;Cost_Sensitive;9.35;57.7;1017;3
STU_0011;Male;30;26-35;No;Student;Other;9.82;Long;Eco_Conscious;8.91;72.6;880;5
STU_0012;Female;19;18-25;No;Student;Strasbourg;4.12;Medium;Comfort_Seeking;3.07;40.7;1028;3
STU_0013;Female;25;18-25;No;Student;Other;2.73;Medium;Cost_Sensitive;1.0;29.8;634;5
STU_0014;Male;22;18-25;No;Alternance;Nancy;2.76;Medium;Time_Sensitive;4.17;29.5;440;3
STU_0015;Male;29;26-35;No;Alternance;Strasbourg;8.7;Long;Cost_Sensitive;9.94;47.5;1171;4
STU_0016;Male;24;18-25;No;Student;Nancy;20.3;Long;Eco_Conscious;18.57;90.0;1176;4
STU_0017;Male;20;18-25;No;Student;Strasbourg;2.37;Medium;Cost_Sensitive;5.2;20.6;1290;4
STU_0018;Male;32;26-35;No;Student;Nancy;2.26;Medium;Time_Sensitive;1.04;26.8;1169;3
STU_0019;Male;31;26-35;No;Student;Strasbourg;7.23;Long;Comfort_Seeking;7.34;37.1;2015;4
STU_0020;Male;23;18-25;No;Student;Strasbourg;2.71;Medium;Time_Sensitive;3.35;25.9;1259;3
STU_0021;Male;27;26-35;No;Student;Strasbourg;7.65;Long;Eco_Conscious;7.8;51.0;718;4
STU_0022;Male;21;18-25;No;Student;Other;5.53;Long;Time_Sensitive;8.3;46.0;808;4
STU_0023;Male;30;26-35;Yes;Alternance;Strasbourg;4.15;Medium;Time_Sensitive;4.84;40.6;379;5
STU_0024;Male;24;18-25;No;Student;Strasbourg;5.45;Long;Eco_Conscious;5.6;35.3;1048;4
STU_0025;Male;20;18-25;No;Alternance;Strasbourg;5.26;Long;Cost_Sensitive;4.28;34.5;770;3
STU_0026;Female;32;26-35;No;Alternance;Nancy;3.79;Medium;Time_Sensitive;7.11;32.0;1179;4
STU_0027;Male;25;18-25;No;Alternance;Strasbourg;1.5;Short;Cost_Sensitive;1.0;26.9;1185;4
STU_0028;Male;24;18-25;No;Alternance;Strasbourg;4.68;Medium;Eco_Conscious;4.48;36.0;1758;5
STU_0029;Male;30;26-35;Yes;Alternance;Strasbourg;10.59;Long;Comfort_Seeking;13.55;61.8;787;5
STU_0030;Male;34;26-35;No;Alternance;Strasbourg;1.64;Short;Comfort_Seeking;3.74;16.0;1054;4
STU_0031;Male;21;18-25;No;Alternance;Strasbourg;2.39;Medium;Time_Sensitive;3.5;24.2;1757;3
STU_0032;Male;20;18-25;No;Alternance;Other;5.41;Long;Cost_Sensitive;6.14;41.0;1315;4
STU_0033;Male;20;18-25;No;Alternance;Strasbourg;4.31;Medium;Time_Sensitive;3.46;30.2;877;4
STU_0034;Female;24;18-25;No;Alternance;Strasbourg;5.36;Long;Comfort_Seeking;5.93;36.4;950;5
STU_0035;Female;21;18-25;No;Student;Strasbourg;2.8;Medium;Cost_Sensitive;3.25;20.5;775;3
STU_0036;Female;22;18-25;No;Student;Strasbourg;8.32;Long;Comfort_Seeking;8.9;61.5;1227;2
STU_0037;Male;48;46-55;No;Student;Strasbourg;4.33;Medium;Time_Sensitive;2.47;29.6;1441;2
STU_0038;Male;23;18-25;No;Alternance;Strasbourg;6.34;Long;Comfort_Seeking;7.61;42.5;1771;4
STU_0039;Female;20;18-25;No;Alternance;Strasbourg;5.08;Long;Comfort_Seeking;7.65;35.5;680;5
STU_0040;Male;19;18-25;No;Employee;Nancy;4.67;Medium;Comfort_Seeking;5.1;27.7;1504;1
STU_0041;Male;49;46-55;No;Alternance;Strasbourg;6.08;Long;Time_Sensitive;7.83;39.1;1123;4
STU_0042;Male;22;18-25;No;Student;Other;4.7;Medium;Cost_Sensitive;6.05;42.0;1108;4
STU_0043;Male;21;18-25;No;Student;Nancy;2.1;Medium;Time_Sensitive;2.19;15.5;1054;4
STU_0044;Female;25;18-25;No;Alternance;Strasbourg;7.96;Long;Time_Sensitive;6.36;49.0;528;3
STU_0045;Male;22;18-25;No;Alternance;Nancy;6.8;Long;Cost_Sensitive;5.63;40.7;1423;5
STU_0046;Female;21;18-25;No;Employee;Strasbourg;1.23;Short;Time_Sensitive;3.07;16.3;738;1
STU_0047;Male;28;26-35;No;Student;Strasbourg;2.87;Medium;Time_Sensitive;3.84;35.2;938;4
STU_0048;Male;43;36-45;No;Alternance;Strasbourg;7.76;Long;Eco_Conscious;10.39;52.0;1301;3
STU_0049;Male;25;18-25;No;Alternance;Strasbourg;1.44;Short;Eco_Conscious;4.15;18.3;564;4
STU_0050;Male;19;18-25;No;Alternance;Strasbourg;7.32;Long;Cost_Sensitive;9.14;46.3;738;5
STU_0051;Female;39;36-45;No;Alternance;Strasbourg;3.88;Medium;Comfort_Seeking;5.27;31.0;1627;3
STU_0052;Female;27;26-35;No;Alternance;Strasbourg;9.24;Long;Cost_Sensitive;7.62;67.0;1243;3
