student_id;Time_vs_Cost;Time_vs_Emissions;Time_vs_Comfort;Cost_vs_Emissions;Cost_vs_Comfort;Emissions_vs_Comfort
STU_0001;Prefer_First;Equal;Equal;Prefer_First;Prefer_Second;Prefer_Second
STU_0002;Equal;Prefer_Second;Prefer_Second;Equal;Prefer_Second;Equal
STU_0003;Prefer_First;Prefer_Second;Prefer_Second;Equal;Equal;Prefer_Second
STU_0004;Prefer_Second;Equal;Prefer_Second;Equal;Prefer_Second;Prefer_Second
STU_0005;Prefer_Second;Prefer_First;Prefer_First;Prefer_Second;Equal;Prefer_First
STU_0006;Prefer_First;Equal;Prefer_First;Prefer_Second;Prefer_Second;Prefer_Second
STU_0007;Equal;Prefer_Second;Equal;Equal;Equal;Prefer_Second
STU_0008;Prefer_First;Equal;Equal;Prefer_Second;Prefer_Second;Prefer_Second
STU_0009;Prefer_First;Prefer_Second;Prefer_First;Equal;Equal;Equal
STU_0010;Prefer_Second;Prefer_Second;Equal;Equal;Prefer_First;Prefer_Second
STU_0011;Equal;Prefer_First;Prefer_Second;Prefer_Second;Equal;Equal
STU_0012;Prefer_First;Equal;Equal;Prefer_Second;Prefer_Second;Prefer_Second
STU_0013;Prefer_First;Prefer_First;Prefer_First;Prefer_Second;Prefer_First;Prefer_First
STU_0014;Prefer_First;Prefer_First;Equal;Equal;Equal;Prefer_First
STU_0015;Prefer_Second;Equal;Prefer_First;Equal;Prefer_First;Prefer_Second
STU_0016;Equal;Prefer_Second;Prefer_First;Prefer_Second;Equal;Prefer_Second
STU_0017;Prefer_Second;Prefer_Second;Equal;Prefer_First;Equal;Prefer_First
STU_0018;Prefer_Second;Equal;Equal;Prefer_Second;Prefer_First;Prefer_Second
STU_0019;Equal;Prefer_First;Equal;Prefer_First;Prefer_Second;Prefer_Second
STU_0020;Prefer_First;Prefer_First;Equal;Equal;Prefer_Second;Prefer_Second
STU_0021;Prefer_Second;Prefer_Second;Prefer_Second;Prefer_Second;Prefer_Second;Prefer_Second
STU_0022;Prefer_First;Equal;Equal;Prefer_Second;Equal;Equal
STU_0023;Prefer_First;Prefer_First;Prefer_First;Equal;Prefer_First;Prefer_Second
STU_0024;Prefer_First;Equal;Prefer_Second;Prefer_Second;Prefer_Second;Prefer_First
STU_0025;Prefer_Second;Prefer_First;Equal;Equal;Prefer_First;Prefer_First
STU_0026;Prefer_First;Prefer_First;Equal;Prefer_Second;Prefer_Second;Prefer_Second
STU_0027;Prefer_Second;Prefer_Second;Prefer_First;Equal;Equal;Prefer_First
STU_0028;Prefer_First;Equal;Prefer_First;Equal;Equal;Prefer_First
STU_0029;Equal;Equal;Prefer_First;Prefer_Second;Prefer_Second;Equal
