student_id;gender;age;age_group;mobility_restriction;student_status;campus;distance_km;distance_category;archetype;max_budget_eur;max_travel_time_min;max_walking_distance_m;environmental_attitude
STU_0001;Male;20;18-25;No;Student;University;2.6;Medium;Comfort_Seeking;3.0;25.0;1000;4
STU_0002;Female;20;18-25;No;Student;University;5.2;Long;Eco_Conscious;6.4;35.0;1100;4
STU_0003;Female;40;36-45;No;Student;University;1.7;Short;Eco_Conscious;3.9;10.0;1800;3
STU_0004;Male;25;18-25;Yes;Student;University;5.6;Long;Comfort_Seeking;1.0;35.0;700;2
STU_0005;Male;15;18-25;No;Student;University;3.5;Medium;Eco_Conscious;5.1;25.0;900;3
STU_0006;Male;20;18-25;No;Student;University;9.2;Long;Cost_Sensitive;8.6;60.0;1000;4
STU_0007;Male;30;26-35;No;Student;University;6.3;Long;Time_Sensitive;5.6;40.0;1500;4
STU_0008;Female;20;18-25;No;Student;University;8.0;Long;Comfort_Seeking;9.7;50.0;900;2
STU_0009;Male;15;18-25;No;Student;University;2.7;Medium;Time_Sensitive;6.4;15.0;1500;4
STU_0010;Female;30;26-35;No;Student;University;7.8;Long;Cost_Sensitive;9.4;55.0;1000;3
STU_0011;Male;30;26-35;No;Student;University;9.8;Long;Eco_Conscious;8.9;70.0;800;5
STU_0012;Female;15;18-25;No;Student;University;4.1;Medium;Comfort_Seeking;3.1;40.0;1000;3
STU_0013;Female;25;18-25;No;Student;University;2.7;Medium;Cost_Sensitive;1.0;25.0;600;5
STU_0014;Male;20;18-25;No;Student;University;2.8;Medium;Time_Sensitive;4.2;25.0;400;3
STU_0015;Male;25;26-35;No;Student;University;8.7;Long;Cost_Sensitive;9.9;45.0;1100;4
STU_0016;Male;20;18-25;No;Student;University;20.3;Long;Eco_Conscious;18.6;90.0;1100;4
STU_0017;Male;20;18-25;No;Student;University;2.4;Medium;Cost_Sensitive;5.2;20.0;1200;4
STU_0018;Male;30;26-35;No;Student;University;2.3;Medium;Time_Sensitive;1.0;25.0;1100;3
STU_0019;Male;30;26-35;No;Student;University;7.2;Long;Comfort_Seeking;7.3;35.0;2000;4
STU_0020;Male;20;18-25;No;Student;University;2.7;Medium;Time_Sensitive;3.4;25.0;1200;3
STU_0021;Male;25;26-35;No;Student;University;7.6;Long;Eco_Conscious;7.8;50.0;700;4
STU_0022;Male;20;18-25;No;Student;University;5.5;Long;Time_Sensitive;8.3;45.0;800;4
STU_0023;Male;30;26-35;Yes;Student;University;4.2;Medium;Time_Sensitive;4.8;40.0;300;5
STU_0024;Male;20;18-25;No;Student;University;5.4;Long;Eco_Conscious;5.6;35.0;1000;4
STU_0025;Male;20;18-25;No;Student;University;5.3;Long;Cost_Sensitive;4.3;30.0;700;3
STU_0026;Female;30;26-35;No;Student;University;3.8;Medium;Time_Sensitive;7.1;30.0;1100;4
STU_0027;Male;25;18-25;No;Student;University;1.5;Short;Cost_Sensitive;1.0;25.0;1100;4
