student_id;weather_rain_walking;weather_rain_cycling;crowding_public_transport;physical_fatigue_cycling;number_of_transfers;waiting_time_uncertainty;seat_availability;noise_level;safety_perception;luggage_carrying
STU_0001;5;3;4;5;5;2;3;3;3;5
STU_0002;4;4;4;4;2;5;3;4;4;1
STU_0003;5;5;4;5;3;3;3;3;4;1
STU_0004;5;5;4;5;2;4;3;2;3;5
STU_0005;4;4;3;4;4;2;3;4;3;2
STU_0006;3;5;4;4;2;3;4;3;3;3
STU_0007;3;4;4;4;3;4;4;3;3;2
STU_0008;3;5;5;3;2;3;4;3;4;3
STU_0009;4;4;3;3;2;5;4;4;4;3
STU_0010;3;3;4;4;4;4;3;1;5;2
STU_0011;4;4;3;3;3;2;2;2;4;2
STU_0012;4;4;5;4;3;4;4;3;3;3
STU_0013;3;4;3;5;2;3;3;2;4;3
STU_0014;3;4;4;4;3;5;4;3;3;3
STU_0015;4;4;4;5;3;3;3;2;3;4
STU_0016;4;5;3;4;2;4;3;1;3;4
STU_0017;4;3;3;2;3;5;4;4;4;4
STU_0018;4;4;4;4;2;5;3;2;5;4
STU_0019;3;4;3;3;1;3;3;1;3;4
STU_0020;3;4;2;4;3;3;1;2;4;4
STU_0021;4;4;3;5;3;4;3;3;3;5
STU_0022;5;5;3;4;3;4;4;2;4;5
STU_0023;4;3;3;3;3;5;5;2;3;2
STU_0024;5;5;4;3;2;5;5;1;5;3
STU_0025;4;3;2;2;4;4;4;4;4;4
STU_0026;3;4;3;4;4;4;2;4;3;3
STU_0027;3;4;3;4;3;4;3;4;3;3
STU_0028;3;4;3;4;2;3;4;2;4;3
STU_0029;5;5;3;4;5;3;2;4;5;2
STU_0030;4;4;4;4;4;3;4;4;4;2
STU_0031;4;4;2;4;4;4;4;4;4;4
STU_0032;5;5;2;2;4;3;3;4;3;3
STU_0033;4;4;5;3;4;4;4;2;2;3
STU_0034;4;5;4;4;3;3;3;4;4;3
STU_0035;5;3;4;3;4;4;2;3;5;3
STU_0036;4;4;5;3;5;5;4;3;4;4
STU_0037;5;5;2;5;4;5;3;2;3;4
STU_0038;4;4;4;3;3;4;4;2;3;4
STU_0039;4;4;3;4;4;5;3;1;4;3
STU_0040;3;4;3;4;2;4;5;3;3;2
STU_0041;4;5;3;2;5;5;4;3;4;4
STU_0042;4;4;3;4;3;3;4;2;4;3
STU_0043;4;4;4;4;4;4;4;2;5;3
STU_0044;5;4;4;4;4;3;4;2;5;2
STU_0045;4;4;5;5;4;3;3;3;5;3
STU_0046;3;4;4;4;3;4;4;2;4;3
STU_0047;3;4;5;3;4;2;3;2;4;3
STU_0048;3;4;3;3;4;3;3;2;4;3
STU_0049;4;4;3;4;3;4;4;4;5;3
STU_0050;5;4;5;2;3;4;4;3;3;3
STU_0051;5;4;4;5;3;3;3;3;4;4
STU_0052;3;4;3;4;4;3;3;2;5;4
STU_0053;3;4;3;5;2;4;4;3;4;3
STU_0054;4;4;3;4;4;2;4;4;4;3
STU_0055;4;4;3;5;3;2;4;5;4;4
STU_0056;4;5;4;4;3;2;2;2;2;3
STU_0057;5;3;4;4;4;5;3;4;4;3
STU_0058;4;4;2;5;4;4;4;1;4;1
STU_0059;3;5;4;4;4;5;3;3;4;2
STU_0060;4;4;3;3;4;4;4;1;4;2
STU_0061;4;4;5;5;3;3;4;4;4;4
STU_0062;5;4;3;5;5;4;2;4;3;4
STU_0063;3;3;3;5;2;3;2;3;4;2
STU_0064;5;3;5;5;3;4;3;1;4;2
STU_0065;4;3;4;5;4;4;5;4;5;2
STU_0066;3;3;3;4;4;4;4;3;3;2
STU_0067;4;4;3;3;2;4;4;3;4;3
STU_0068;5;3;4;4;4;4;2;1;4;3
STU_0069;5;4;4;2;2;4;2;2;3;3
STU_0070;3;4;4;5;3;4;3;3;4;4
STU_0071;4;4;3;4;3;3;4;3;5;3
STU_0072;5;5;3;5;3;3;3;2;3;3
STU_0073;4;4;3;5;2;4;4;3;4;2
STU_0074;4;3;3;3;3;3;2;4;5;4
STU_0075;4;4;3;3;4;5;3;3;5;3
STU_0076;4;4;3;3;3;2;3;5;4;3
STU_0077;4;4;4;4;3;3;4;3;4;4
STU_0078;5;5;3;4;4;2;3;2;4;4
STU_0079;3;4;3;5;4;4;3;5;4;2
STU_0080;3;4;3;3;4;4;3;4;3;4
STU_0081;4;4;3;3;1;3;3;1;5;3
STU_0082;5;4;4;3;3;4;3;3;2;3
STU_0083;4;3;4;3;4;4;3;4;5;3
STU_0084;5;4;4;3;5;4;4;1;4;2
STU_0085;4;5;4;4;3;2;3;3;4;4
