profile_id,archetype,seed,algorithm,raw_hv,nHV
ECO__0000,eco_conscious,0,PI-NSGA-III,6.329354583187822e-06,0.7293450064861601
ECO__0000,eco_conscious,0,canonical-NSGA-III,6.400842670272889e-06,0.7375827309892612
ECO__0000,eco_conscious,0,NSGA-II,7.031602761678444e-06,0.8102665594761923
ECO__0000,eco_conscious,1,PI-NSGA-III,6.5919207611448e-06,0.7596010662862775
ECO__0000,eco_conscious,1,canonical-NSGA-III,6.271897914573343e-06,0.7227241522122329
ECO__0000,eco_conscious,1,NSGA-II,6.88303818189071e-06,0.7931471465906016
ECO__0000,eco_conscious,2,PI-NSGA-III,7.156724840827559e-06,0.8246846430942238
ECO__0000,eco_conscious,2,canonical-NSGA-III,6.960301817539296e-06,0.8020503998532558
ECO__0000,eco_conscious,2,NSGA-II,7.472173503549026e-06,0.8610344642228677
ECO__0000,eco_conscious,4,PI-NSGA-III,7.72212909646528e-06,0.8898373794554882
ECO__0000,eco_conscious,4,canonical-NSGA-III,7.650301830698277e-06,0.8815605706706132
ECO__0000,eco_conscious,4,NSGA-II,8.17882967539634e-06,0.9424639596738685
ECO__0000,eco_conscious,3,PI-NSGA-III,8.137933062281561e-06,0.9377513558585143
ECO__0000,eco_conscious,3,canonical-NSGA-III,8.278527230948379e-06,0.953952321298275
ECO__0000,eco_conscious,3,NSGA-II,8.678135212965123e-06,1.0
ECO__0001,eco_conscious,0,PI-NSGA-III,0.0259572521647889,0.9456393115983691
ECO__0001,eco_conscious,0,canonical-NSGA-III,0.025366985890959346,0.9241355334133621
ECO__0001,eco_conscious,0,NSGA-II,0.027449421620294734,1.0
ECO__0001,eco_conscious,2,PI-NSGA-III,0.01875002624755165,0.683075458088662
ECO__0001,eco_conscious,2,canonical-NSGA-III,0.021348515498509538,0.7777400847938272
ECO__0001,eco_conscious,2,NSGA-II,0.023073086770151446,0.8405673201176799
ECO__0001,eco_conscious,1,PI-NSGA-III,0.022979344906935355,0.8371522440365583
ECO__0001,eco_conscious,1,canonical-NSGA-III,0.02321766477899794,0.84583438952433
ECO__0001,eco_conscious,1,NSGA-II,0.024958550887755136,0.9092559848074186
ECO__0001,eco_conscious,3,PI-NSGA-III,0.019431167786533157,0.707889880352405
