profile_id,archetype,seed,beta,phi,algorithm,raw_hv,nHV
ECO__0000,eco_conscious,0,0.0,0.0,PI-NSGA-III,4.442735277605822e-06,0.5431993884125641
ECO__0000,eco_conscious,0,0.0,0.0,NSGA-II,5.083147273074975e-06,0.6215005660731833
ECO__0000,eco_conscious,1,0.0,0.0,PI-NSGA-III,6.403695213960859e-06,0.7829598448815405
ECO__0000,eco_conscious,1,0.0,0.0,NSGA-II,6.677840361854859e-06,0.8164787172354528
ECO__0000,eco_conscious,4,0.0,0.0,PI-NSGA-III,7.72212909646528e-06,0.9441606443639593
ECO__0000,eco_conscious,4,0.0,0.0,NSGA-II,8.17882967539634e-06,1.0
ECO__0000,eco_conscious,3,0.0,0.0,PI-NSGA-III,4.908507272721326e-06,0.6001478778176736
ECO__0000,eco_conscious,3,0.0,0.0,NSGA-II,5.3463910248428535e-06,0.6536865587170663
ECO__0000,eco_conscious,2,0.0,0.0,PI-NSGA-III,3.7445968442707444e-06,0.45784017920501374
ECO__0000,eco_conscious,2,0.0,0.0,NSGA-II,3.986121154175516e-06,0.4873706034210025
ECO__0001,eco_conscious,0,0.0,0.0,PI-NSGA-III,0.023557024508256585,0.8463597703367524
ECO__0001,eco_conscious,0,0.0,0.0,NSGA-II,0.025208727100381915,0.9057023509774376
ECO__0001,eco_conscious,2,0.0,0.0,PI-NSGA-III,0.020683898509939864,0.7431337343307365
ECO__0001,eco_conscious,2,0.0,0.0,NSGA-II,0.024230121034863106,0.870542867886848
ECO__0001,eco_conscious,1,0.0,0.0,PI-NSGA-III,0.02313474886108533,0.8311881972192137
ECO__0001,eco_conscious,1,0.0,0.0,NSGA-II,0.024958550887755136,0.8967139882159052
ECO__0001,eco_conscious,3,0.0,0.0,PI-NSGA-III,0.026668490153930986,0.9581489034830326
ECO__0001,eco_conscious,3,0.0,0.0,NSGA-II,0.027833346212667504,1.0
ECO__0001,eco_conscious,4,0.0,0.0,PI-NSGA-III,0.019236055930629777,0.6911154621385434
ECO__0001,eco_conscious,4,0.0,0.0,NSGA-II,0.02080191831819711,0.747373965000649
COST_0002,cost_sensitive,0,0.0,0.0,PI-NSGA-III,0.00014810143500997762,0.9562973294748145
COST_0002,cost_sensitive,0,0.0,0.0,NSGA-II,0.00015486965240330946,1.0
COST_0002,cost_sensitive,1,0.0,0.0,PI-NSGA-III,5.06236864170025e-05,0.3268793183907263
COST_0002,cost_sensitive,1,0.0,0.0,NSGA-II,5.925392294562356e-05,0.38260512647962364
COST_0002,cost_sensitive,2,0.0,0.0,PI-NSGA-III,0.00013489586240094235,0.8710283797218603
COST_0002,cost_sensitive,2,0.0,0.0,NSGA-II,0.00013726745239389125,0.8863418382086969
COST_0002,cost_sensitive,3,0.0,0.0,PI-NSGA-III,3.339724868606285e-05,0.21564746977729496
COST_0002,cost_sensitive,3,0.0,0.0,NSGA-II,3.603762532331022e-05,0.23269649517557853
COST_0002,cost_sensitive,4,0.0,0.0,PI-NSGA-III,2.600857061747835e-05,0.16793845801207832
COST_0002,cost_sensitive,4,0.0,0.0,NSGA-II,3.0915864718353885e-05,0.1996250668778103
COST_0003,cost_sensitive,0,0.0,0.0,PI-NSGA-III,3.928894819328066e-06,0.9847615263720669
COST_0003,cost_sensitive,0,0.0,0.0,NSGA-II,3.989691630015644e-06,1.0
COST_0003,cost_sensitive,1,0.0,0.0,PI-NSGA-III,3.0769519287349837e-06,0.7712255016368066
COST_0003,cost_sensitive,1,0.0,0.0,NSGA-II,3.29325398495545e-06,0.8254407333587676
COST_0003,cost_sensitive,3,0.0,0.0,PI-NSGA-III,3.3541885818086094e-06,0.8407137425293837
COST_0003,cost_sensitive,3,0.0,0.0,NSGA-II,3.5334577054708007e-06,0.8856468201420733
COST_0003,cost_sensitive,4,0.0,0.0,PI-NSGA-III,2.8273681903076337e-06,0.7086683514676916
COST_0003,cost_sensitive,4,0.0,0.0,NSGA-II,3.2295631972586764e-06,0.8094768961494934
COST_0003,cost_sensitive,2,0.0,0.0,PI-NSGA-III,1.5267969590855368e-06,0.3826854555873407
COST_0003,cost_sensitive,2,0.0,0.0,NSGA-II,1.618933495752179e-06,0.4057791042226065
