profile_id,archetype,seed,rho,raw_hv_nsga3,raw_hv_nsga2
ECO__0000,eco_conscious,1,0.1,6.403695213960859e-06,6.677840361854859e-06
ECO__0000,eco_conscious,0,0.1,4.442735277605822e-06,5.083147273074975e-06
ECO__0000,eco_conscious,2,0.1,3.7445968442707444e-06,3.986121154175516e-06
ECO__0000,eco_conscious,3,0.1,4.908507272721326e-06,5.3463910248428535e-06
ECO__0000,eco_conscious,4,0.1,7.72212909646528e-06,8.17882967539634e-06
ECO__0000,eco_conscious,6,0.1,8.322691458013033e-06,9.566845048418237e-06
ECO__0000,eco_conscious,5,0.1,9.959287939491907e-06,1.0475610462703153e-05
ECO__0000,eco_conscious,7,0.1,4.839990615570178e-06,5.012046412393996e-06
ECO__0000,eco_conscious,8,0.1,4.446177012422106e-06,5.077831447832677e-06
ECO__0000,eco_conscious,9,0.1,8.323231013277006e-06,8.896361826048396e-06
ECO__0001,eco_conscious,0,0.1,0.013609599064786235,0.014393411884554282
ECO__0001,eco_conscious,1,0.1,0.024475088121246946,0.027326316617138666
ECO__0001,eco_conscious,2,0.1,0.01997504823198069,0.023514331804562447
ECO__0001,eco_conscious,3,0.1,0.019136340402827627,0.019883708427019402
ECO__0001,eco_conscious,4,0.1,0.018873176507175453,0.01949298409772614
ECO__0001,eco_conscious,5,0.1,0.01376858356419412,0.015777089062692616
ECO__0001,eco_conscious,7,0.1,0.004548701633624335,0.005282213681347519
ECO__0001,eco_conscious,6,0.1,0.02537939585524855,0.02795452788794482
ECO__0001,eco_conscious,9,0.1,0.016678840335915237,0.01788771463044713
ECO__0001,eco_conscious,8,0.1,0.015367713857515116,0.01634404870465003
ECO__0002,eco_conscious,0,0.1,1.8880629868746548e-05,1.9964193476336325e-05
ECO__0002,eco_conscious,1,0.1,1.0655808731840653e-05,1.2477359286757286e-05
ECO__0002,eco_conscious,2,0.1,2.203100685749462e-05,2.298659231409029e-05
ECO__0002,eco_conscious,3,0.1,1.8342956025497037e-05,1.9378936646131176e-05
ECO__0002,eco_conscious,4,0.1,1.7706555591404666e-05,1.9533977194600643e-05
ECO__0002,eco_conscious,5,0.1,1.1567090562125363e-05,1.1810145250439181e-05
ECO__0002,eco_conscious,7,0.1,1.5236415103177783e-05,1.5966068350677805e-05
ECO__0002,eco_conscious,6,0.1,1.6690011899703392e-05,1.816351155513273e-05
ECO__0002,eco_conscious,8,0.1,2.0345014076986863e-05,2.0110873744532928e-05
ECO__0002,eco_conscious,9,0.1,1.6929523076506087e-05,1.7511141706007306e-05
ECO__0003,eco_conscious,0,0.1,7.242342284180121e-07,8.100247553801998e-07
ECO__0003,eco_conscious,1,0.1,1.0404866961926041e-06,1.1341163574897185e-06
ECO__0003,eco_conscious,2,0.1,1.3318185140087544e-06,1.345260778458646e-06
ECO__0003,eco_conscious,4,0.1,1.3344764714431312e-06,1.32613346927345e-06
ECO__0003,eco_conscious,3,0.1,1.262257059003818e-06,1.3956982965520376e-06
ECO__0003,eco_conscious,5,0.1,7.926222283425901e-07,8.817259632382864e-07
ECO__0003,eco_conscious,6,0.1,9.498200600585909e-07,1.0042819860684197e-06
ECO__0003,eco_conscious,7,0.1,8.329603332618509e-07,8.390596901908568e-07
ECO__0003,eco_conscious,8,0.1,7.607631874030046e-07,8.42215090608601e-07
ECO__0003,eco_conscious,9,0.1,8.12873554985088e-07,9.081329991877245e-07
ECO__0004,eco_conscious,0,0.1,0.00010933033702702776,0.00011121691449089848
ECO__0004,eco_conscious,1,0.1,0.017279544902166134,0.01964077312129783
ECO__0004,eco_conscious,2,0.1,2.88816494690005e-06,2.917267260367974e-06
ECO__0004,eco_conscious,3,0.1,0.05522317791378992,0.05890903143312024
ECO__0004,eco_conscious,4,0.1,3.3375431970089075e-06,3.5995698568411547e-06
ECO__0004,eco_conscious,5,0.1,0.0007153131232139442,0.000736430594723373
ECO__0004,eco_conscious,6,0.1,2.7149632506259063e-06,2.752154508930573e-06
ECO__0004,eco_conscious,7,0.1,2.581204255067248e-06,2.727839414238708e-06
ECO__0004,eco_conscious,9,0.1,3.0832533405159057e-06,3.3384343143497364e-06
ECO__0004,eco_conscious,8,0.1,0.026912136247893154,0.028777057906883927
COST_0005,cost_sensitive,0,0.1,7.955501502086248e-06,8.100448539141978e-06
COST_0005,cost_sensitive,1,0.1,4.013575747764661e-06,4.763953502343473e-06
COST_0005,cost_sensitive,2,0.1,7.820118344885357e-06,7.81055581233506e-06
COST_0005,cost_sensitive,3,0.1,7.603185610371831e-06,8.734983784607333e-06
COST_0005,cost_sensitive,4,0.1,3.448407682295362e-06,3.821042687563173e-06
COST_0005,cost_sensitive,5,0.1,7.752341518658368e-06,7.810530160893193e-06
COST_0005,cost_sensitive,8,0.1,7.469115765724364e-06,7.699152193373901e-06
COST_0005,cost_sensitive,6,0.1,7.890037202919841e-06,8.329154871812871e-06
COST_0005,cost_sensitive,7,0.1,6.951507134614932e-06,7.475909818169894e-06
COST_0005,cost_sensitive,9,0.1,4.950683352930573e-06,5.4814368929841025e-06
COST_0006,cost_sensitive,0,0.1,0.0015716042444020558,0.0018259109668457482
COST_0006,cost_sensitive,1,0.1,0.0014260246121327283,0.0015346793966044521
COST_0006,cost_sensitive,2,0.1,0.000637848237005086,0.0006958659509648767
COST_0006,cost_sensitive,3,0.1,0.001661996100724083,0.0016607111826573754
COST_0006,cost_sensitive,4,0.1,0.001462905169640948,0.00148762441971982
COST_0006,cost_sensitive,5,0.1,0.0015286508550186035,0.0015817002546017714
COST_0006,cost_sensitive,6,0.1,0.0015014986932011837,0.0015754023932119656
COST_0006,cost_sensitive,7,0.1,0.0013922294359355828,0.001556701394398512
COST_0006,cost_sensitive,8,0.1,0.001369114190081542,0.0014196484343351305
COST_0006,cost_sensitive,9,0.1,0.0014722533933079426,0.0015823331584897593
COST_0007,cost_sensitive,0,0.1,9.011262788605244,8.93019598744999
COST_0007,cost_sensitive,1,0.1,4.890098565774896,5.344062904142192
COST_0007,cost_sensitive,2,0.1,0.0003348789684771866,0.00032478767395227647
COST_0007,cost_sensitive,3,0.1,13.044548694074308,12.865175752832178
COST_0007,cost_sensitive,4,0.1,0.00021148051935280368,0.0002068185030854406
COST_0007,cost_sensitive,5,0.1,8.800213659978853,9.00832986121879
COST_0007,cost_sensitive,6,0.1,29.684450386269486,29.684499374868345
COST_0007,cost_sensitive,7,0.1,0.00016971170137944865,0.0001740251873625903
COST_0007,cost_sensitive,9,0.1,1.88257871686258,2.008528257198195
COST_0007,cost_sensitive,8,0.1,0.00020392204612516723,0.00021651663396993643
COST_0008,cost_sensitive,0,0.1,0.00021370384648068569,0.0002171632036153081
COST_0008,cost_sensitive,2,0.1,3.157808603383405e-05,3.3927752439175476e-05
COST_0008,cost_sensitive,3,0.1,3.9858490015433676e-05,4.415097478167252e-05
COST_0008,cost_sensitive,1,0.1,9.780249172880056e-05,9.950236816423175e-05
COST_0008,cost_sensitive,4,0.1,6.584417450343502e-05,6.732952078973589e-05
COST_0008,cost_sensitive,6,0.1,3.274313874177104e-05,3.448196323894685e-05
COST_0008,cost_sensitive,7,0.1,9.533587062080237e-05,9.809917724363607e-05
COST_0008,cost_sensitive,5,0.1,3.067635514816356e-05,3.30824277320885e-05
COST_0008,cost_sensitive,8,0.1,3.382846518790542e-05,3.663916698230828e-05
COST_0008,cost_sensitive,9,0.1,3.446760100273571e-05,3.6611252490574515e-05
COST_0009,cost_sensitive,1,0.1,1.3859816824983554e-05,1.632465677278061e-05
COST_0009,cost_sensitive,0,0.1,6.127196945238109e-06,7.01520082559209e-06
COST_0009,cost_sensitive,2,0.1,2.0182384960098135e-05,2.0947120288212165e-05
