profile_id,archetype,seed,rho,algorithm,raw_hv,nHV
ECO__0000,eco_conscious,1,0.1,PI-NSGA-III,6.403695213960859e-06,0.6112956602157229
ECO__0000,eco_conscious,1,0.1,NSGA-II,6.677840361854859e-06,0.63746550958823
ECO__0000,eco_conscious,0,0.1,PI-NSGA-III,4.442735277605822e-06,0.4241027569155533
ECO__0000,eco_conscious,0,0.1,NSGA-II,5.083147273074975e-06,0.48523637750494464
ECO__0000,eco_conscious,2,0.1,PI-NSGA-III,3.7445968442707444e-06,0.35745858034744826
ECO__0000,eco_conscious,2,0.1,NSGA-II,3.986121154175516e-06,0.3805144500521001
ECO__0000,eco_conscious,3,0.1,PI-NSGA-III,4.908507272721326e-06,0.46856527265855613
ECO__0000,eco_conscious,3,0.1,NSGA-II,5.3463910248428535e-06,0.510365581450158
ECO__0000,eco_conscious,4,0.1,PI-NSGA-III,7.72212909646528e-06,0.7371531352715689
ECO__0000,eco_conscious,4,0.1,NSGA-II,8.17882967539634e-06,0.7807496951624769
ECO__0000,eco_conscious,6,0.1,PI-NSGA-III,8.322691458013033e-06,0.794482716558117
ECO__0000,eco_conscious,6,0.1,NSGA-II,9.566845048418237e-06,0.91324940751468
ECO__0000,eco_conscious,5,0.1,PI-NSGA-III,9.959287939491907e-06,0.9507119394092082
ECO__0000,eco_conscious,5,0.1,NSGA-II,1.0475610462703153e-05,1.0
ECO__0000,eco_conscious,7,0.1,PI-NSGA-III,4.839990615570178e-06,0.46202468417494547
ECO__0000,eco_conscious,7,0.1,NSGA-II,5.012046412393996e-06,0.47844910139019003
ECO__0000,eco_conscious,8,0.1,PI-NSGA-III,4.446177012422106e-06,0.4244313043380198
ECO__0000,eco_conscious,8,0.1,NSGA-II,5.077831447832677e-06,0.48472892972791776
ECO__0000,eco_conscious,9,0.1,PI-NSGA-III,8.323231013277006e-06,0.7945342224122047
ECO__0000,eco_conscious,9,0.1,NSGA-II,8.896361826048396e-06,0.8492451926999924
ECO__0001,eco_conscious,0,0.1,PI-NSGA-III,0.013609599064786235,0.4868477521545006
ECO__0001,eco_conscious,0,0.1,NSGA-II,0.014393411884554282,0.5148866023511466
ECO__0001,eco_conscious,1,0.1,PI-NSGA-III,0.024475088121246946,0.8755321577726105
ECO__0001,eco_conscious,1,0.1,NSGA-II,0.027326316617138666,0.9775273875729782
ECO__0001,eco_conscious,2,0.1,PI-NSGA-III,0.01997504823198069,0.7145550199255835
ECO__0001,eco_conscious,2,0.1,NSGA-II,0.023514331804562447,0.8411636175298394
ECO__0001,eco_conscious,3,0.1,PI-NSGA-III,0.019136340402827627,0.6845524445819752
ECO__0001,eco_conscious,3,0.1,NSGA-II,0.019883708427019402,0.71128757769485
ECO__0001,eco_conscious,4,0.1,PI-NSGA-III,0.018873176507175453,0.6751384456510305
ECO__0001,eco_conscious,4,0.1,NSGA-II,0.01949298409772614,0.6973104384328502
