profile_id,archetype,trip_distance_bin,distance_km,age,budget_eur,rain,temperature_c,mobility_restriction,seed_offset,campus,student_status
STU_0001,comfort_seeking,medium,2.65,20,3.0,1,5.821757746821364,0,0,Nancy,Alternance
STU_0002,eco_conscious,long,5.16,22,6.35,0,13.230568504613341,0,1,Strasbourg,Student
STU_0003,eco_conscious,short,1.67,43,3.87,1,23.02415085879442,0,2,Strasbourg,Alternance
STU_0004,comfort_seeking,long,5.55,25,1.0,0,-4.245902762975383,1,3,Strasbourg,Student
STU_0005,eco_conscious,medium,3.48,19,5.12,0,2.026890480773389,0,4,Strasbourg,Alternance
STU_0006,cost_sensitive,long,9.18,23,8.58,1,6.616908464837859,0,5,Strasbourg,Alternance
STU_0007,time_sensitive,long,6.27,30,5.56,1,25.68943093376263,0,6,Strasbourg,Student
STU_0008,comfort_seeking,long,8.01,22,9.74,1,16.26069586335437,0,7,Strasbourg,Student
STU_0009,time_sensitive,medium,2.71,19,6.44,0,20.138537923689814,0,8,Nancy,Alternance
STU_0010,cost_sensitive,long,7.78,34,9.35,0,4.878712646990156,0,9,Strasbourg,Student
STU_0011,eco_conscious,long,9.82,30,8.91,0,5.04371299783579,0,10,Other,Student
STU_0012,comfort_seeking,medium,4.12,19,3.07,1,17.582509733781684,0,11,Strasbourg,Student
STU_0013,cost_sensitive,medium,2.73,25,1.0,0,14.466194647483572,0,12,Other,Student
STU_0014,time_sensitive,medium,2.76,22,4.17,1,18.38991055091301,0,13,Nancy,Alternance
STU_0015,cost_sensitive,long,8.7,29,9.94,0,12.498632072572383,0,14,Strasbourg,Alternance
STU_0016,eco_conscious,long,20.3,24,18.57,0,16.225149811637017,0,15,Nancy,Student
STU_0017,cost_sensitive,medium,2.37,20,5.2,0,15.264952679240874,0,16,Strasbourg,Student
STU_0018,time_sensitive,medium,2.26,32,1.04,0,20.222139112679404,0,17,Nancy,Student
STU_0019,comfort_seeking,long,7.23,31,7.34,1,20.456066255555765,0,18,Strasbourg,Student
STU_0020,time_sensitive,medium,2.71,23,3.35,0,1.041024044865841,0,19,Strasbourg,Student
STU_0021,eco_conscious,long,7.65,27,7.8,1,-3.9781484427268445,0,20,Strasbourg,Student
STU_0022,time_sensitive,long,5.53,21,8.3,0,22.013963181212056,0,21,Other,Student
STU_0023,time_sensitive,medium,4.15,30,4.84,1,23.50180074609549,1,22,Strasbourg,Alternance
STU_0024,eco_conscious,long,5.45,24,5.6,1,5.8350158438933,0,23,Strasbourg,Student
STU_0025,cost_sensitive,long,5.26,20,4.28,1,-0.878683252365029,0,24,Strasbourg,Alternance
STU_0026,time_sensitive,medium,3.79,32,7.11,0,14.792278568057608,0,25,Nancy,Alternance
STU_0027,cost_sensitive,short,1.5,25,1.0,0,21.446705810804236,0,26,Strasbourg,Alternance
