generation,hypervolume,igd,spacing,feasible_ratio,n_feasible,population_size,profile_id,algorithm,seed,runtime_sec
1,,,0.2606177426103706,0.43529411764705883,74,170,STU_0647,nsga3,0,8.18987370794639
2,,,0.18619047281891188,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
3,,,0.16410912943037018,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
4,,,0.15859819189658272,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
5,,,0.17631413615322453,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
6,,,0.1672456514115068,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
7,,,0.17420557265833317,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
8,,,0.14792802726845022,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
9,,,0.16345272718330248,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
10,,,0.1816024660437784,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
11,,,0.15547151326753628,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
12,,,0.12256547264688383,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
13,,,0.15972868003639334,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
14,,,0.09400271321056101,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
15,,,0.1200138117227603,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
16,,,0.11604295960163917,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
17,,,0.09911270328308314,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
18,,,0.09854160014301376,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
19,,,0.11678113332688549,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
20,,,0.11427140565627171,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
21,,,0.1024772210691365,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
22,,,0.09634228738656227,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
23,,,0.24597542303312434,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
24,,,0.24246271889526305,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
25,,,0.1936880918732254,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
26,,,0.21535582995335542,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
27,,,0.21643919925749994,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
28,,,0.2822831331888287,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
29,,,0.2233734972343157,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
30,,,0.19751138886209677,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
31,,,0.2543775628850748,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
32,,,0.23170743543731695,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
33,,,0.10607796468895418,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
34,,,0.2519252442492724,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
35,,,0.24786841242779964,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
36,,,0.21018095301027928,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
37,,,0.20681357174984547,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
38,,,0.171289182149645,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
39,,,0.16504867254698355,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
40,,,0.20814986617947218,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
41,,,0.19349446616655333,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
42,,,0.19531263363498824,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
43,,,0.1348562292527245,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
44,,,0.2137944646853313,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
