profile_id,archetype,trip_distance_bin,distance_km,age,budget_eur,rain,temperature_c,mobility_restriction,seed_offset,campus,student_status,run_plan
STU_0287,comfort_seeking,long,11.89,24,13.45,0,16.721679814946704,0,286,Other,Student,main_nsga2_vs_nsga3_150profiles
STU_0647,comfort_seeking,long,6.68,34,9.62,0,17.015582285562978,0,646,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0510,comfort_seeking,long,9.48,25,8.84,0,18.47632296492933,0,509,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0422,comfort_seeking,long,6.6,18,8.1,0,27.750360024398873,0,421,Other,Alternance,main_nsga2_vs_nsga3_150profiles
STU_0442,comfort_seeking,long,8.12,21,9.81,0,4.503436589005039,0,441,Strasbourg,Alternance,main_nsga2_vs_nsga3_150profiles
STU_0569,comfort_seeking,long,6.76,30,3.63,0,13.81413031319707,0,568,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0034,comfort_seeking,long,5.36,24,5.93,0,5.879456754169471,0,33,Strasbourg,Alternance,main_nsga2_vs_nsga3_150profiles
STU_0632,comfort_seeking,long,5.46,23,7.17,1,11.97694842945735,0,631,Other,Student,main_nsga2_vs_nsga3_150profiles
STU_0036,comfort_seeking,long,8.32,22,8.9,0,28.281347216577046,0,35,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0649,comfort_seeking,long,6.82,22,9.92,0,24.629048534795487,0,648,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0726,comfort_seeking,long,9.11,22,8.58,0,12.847778719562589,0,725,Strasbourg,Alternance,main_nsga2_vs_nsga3_150profiles
STU_0087,comfort_seeking,long,9.42,22,11.89,1,22.79983720273667,0,86,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0351,comfort_seeking,medium,2.7,19,4.34,0,13.381150561433167,0,350,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0306,comfort_seeking,medium,2.48,50,1.8,0,-2.863626734219544,0,305,Other,Student,main_nsga2_vs_nsga3_150profiles
STU_0665,comfort_seeking,medium,4.02,25,5.31,0,12.68279177964839,0,664,Strasbourg,Alternance,main_nsga2_vs_nsga3_150profiles
STU_0298,comfort_seeking,medium,2.26,23,4.46,1,14.417386549260268,1,297,Strasbourg,Alternance,main_nsga2_vs_nsga3_150profiles
STU_0237,comfort_seeking,medium,2.21,23,2.7,0,24.964327908913056,0,236,Nancy,Student,main_nsga2_vs_nsga3_150profiles
STU_0520,comfort_seeking,medium,4.78,20,2.08,1,18.945525717322408,0,519,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0477,comfort_seeking,medium,3.49,19,5.03,0,29.683876806264216,0,476,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0342,comfort_seeking,medium,2.65,37,1.13,1,12.770519165103858,0,341,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0392,comfort_seeking,medium,2.36,29,6.9,0,25.8991863174869,0,391,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0132,comfort_seeking,medium,3.46,20,6.85,1,11.105339703325267,0,131,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0093,comfort_seeking,medium,2.92,25,5.22,0,9.376847135378753,0,92,Strasbourg,Alternance,main_nsga2_vs_nsga3_150profiles
STU_0559,comfort_seeking,medium,4.66,35,3.95,0,26.96056247308841,0,558,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0122,comfort_seeking,short,1.52,21,2.05,0,29.24048171251576,0,121,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0142,comfort_seeking,short,1.8,34,4.17,0,6.143844641357595,0,141,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0460,comfort_seeking,short,1.98,19,1.58,0,16.9296767822715,0,459,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0396,comfort_seeking,short,1.86,24,2.76,0,14.816250377924593,0,395,Nancy,Alternance,main_nsga2_vs_nsga3_150profiles
STU_0303,comfort_seeking,short,1.71,21,3.29,0,16.52838296515429,0,302,Strasbourg,Employee,main_nsga2_vs_nsga3_150profiles
STU_0623,comfort_seeking,short,1.87,21,4.86,1,17.422371185977063,0,622,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0734,comfort_seeking,short,1.44,21,3.18,0,13.158206925993031,0,733,Nancy,Alternance,main_nsga2_vs_nsga3_150profiles
STU_0239,comfort_seeking,short,1.42,21,4.46,0,31.94336249922388,0,238,Nancy,Student,main_nsga2_vs_nsga3_150profiles
STU_0476,comfort_seeking,short,0.83,19,1.64,0,29.470347881505496,0,475,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0030,comfort_seeking,short,1.64,34,3.74,0,11.02626642731444,0,29,Strasbourg,Alternance,main_nsga2_vs_nsga3_150profiles
STU_0536,comfort_seeking,short,1.87,23,1.0,0,8.196867823936197,0,535,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0539,comfort_seeking,short,0.93,25,3.33,0,13.6916939052527,0,538,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0362,cost_sensitive,long,9.7,27,10.8,0,15.950019843213184,0,361,Nancy,Alternance,main_nsga2_vs_nsga3_150profiles
STU_0105,cost_sensitive,long,5.74,33,4.51,1,-2.933235591764248,0,104,Nancy,Student,main_nsga2_vs_nsga3_150profiles
STU_0253,cost_sensitive,long,6.54,22,7.13,0,13.15054455501939,0,252,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0071,cost_sensitive,long,5.59,25,6.89,0,12.791584979144567,0,70,Other,Alternance,main_nsga2_vs_nsga3_150profiles
STU_0348,cost_sensitive,long,6.56,21,7.7,0,5.424299581678246,0,347,Nancy,Employee,main_nsga2_vs_nsga3_150profiles
STU_0545,cost_sensitive,long,5.48,25,9.08,0,10.422738741360426,0,544,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0333,cost_sensitive,long,23.32,20,23.16,0,12.367451324489208,0,332,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0450,cost_sensitive,long,7.2,27,12.18,0,10.706004658522806,0,449,Strasbourg,Employee,main_nsga2_vs_nsga3_150profiles
STU_0682,cost_sensitive,long,9.18,23,10.04,0,23.46024593402126,0,681,Nancy,Student,main_nsga2_vs_nsga3_150profiles
STU_0163,cost_sensitive,long,6.4,25,5.28,0,21.581196878786397,0,162,Strasbourg,Alternance,main_nsga2_vs_nsga3_150profiles
STU_0573,cost_sensitive,long,20.22,25,17.66,0,10.4875687191605,0,572,Nancy,Alternance,main_nsga2_vs_nsga3_150profiles
STU_0509,cost_sensitive,long,9.76,20,8.61,0,9.386821662130457,0,508,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0598,cost_sensitive,medium,4.11,20,3.96,0,12.376464450597037,0,597,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0440,cost_sensitive,medium,4.64,24,7.3,0,-5.606977028320692,0,439,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0605,cost_sensitive,medium,2.16,30,1.73,1,1.4969252372812036,0,604,Other,Student,main_nsga2_vs_nsga3_150profiles
STU_0629,cost_sensitive,medium,4.18,25,7.25,0,8.141716948783394,0,628,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0013,cost_sensitive,medium,2.73,25,1.0,0,14.466194647483572,0,12,Other,Student,main_nsga2_vs_nsga3_150profiles
STU_0265,cost_sensitive,medium,2.42,18,3.24,1,19.884664739426988,0,264,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0183,cost_sensitive,medium,2.01,27,4.21,0,14.820425469810134,0,182,Other,Alternance,main_nsga2_vs_nsga3_150profiles
STU_0225,cost_sensitive,medium,2.2,25,1.0,0,23.602450066074574,0,224,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0491,cost_sensitive,medium,2.33,21,3.0,1,16.38008856948444,0,490,Strasbourg,Alternance,main_nsga2_vs_nsga3_150profiles
STU_0144,cost_sensitive,medium,3.46,28,5.13,0,13.532710049130541,0,143,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0610,cost_sensitive,medium,4.17,25,1.38,0,13.009525645362723,0,609,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0164,cost_sensitive,medium,4.02,24,5.32,0,5.111160792659534,0,163,Strasbourg,Alternance,main_nsga2_vs_nsga3_150profiles
STU_0100,cost_sensitive,short,1.63,19,3.0,1,16.18563218281698,0,99,Strasbourg,Alternance,main_nsga2_vs_nsga3_150profiles
STU_0730,cost_sensitive,short,1.84,30,1.0,0,11.547475029703538,0,729,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0552,cost_sensitive,short,1.82,18,6.87,0,26.29572523134116,0,551,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0027,cost_sensitive,short,1.5,25,1.0,0,21.446705810804236,0,26,Strasbourg,Alternance,main_nsga2_vs_nsga3_150profiles
STU_0395,cost_sensitive,short,0.91,23,4.76,0,12.076502423437258,0,394,Strasbourg,Alternance,main_nsga2_vs_nsga3_150profiles
STU_0235,cost_sensitive,short,1.97,20,2.1,1,4.700569758880556,0,234,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0355,cost_sensitive,short,1.85,54,3.9,0,1.2576459222277787,0,354,Nancy,Employee,main_nsga2_vs_nsga3_150profiles
STU_0621,cost_sensitive,short,0.84,19,4.41,1,12.289563535276073,0,620,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0633,cost_sensitive,short,1.53,20,2.14,0,18.498182975315945,0,632,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0713,cost_sensitive,short,1.81,25,1.0,1,6.568086662955364,0,712,Strasbourg,Employee,main_nsga2_vs_nsga3_150profiles
STU_0550,cost_sensitive,short,1.85,19,4.27,0,19.201992044626913,0,549,Strasbourg,Alternance,main_nsga2_vs_nsga3_150profiles
STU_0637,cost_sensitive,short,1.93,25,1.73,0,17.729421297578487,0,636,Nancy,Alternance,main_nsga2_vs_nsga3_150profiles
STU_0697,eco_conscious,long,8.41,23,10.18,1,7.18272955227525,0,696,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0214,eco_conscious,long,12.7,21,15.93,1,23.322460284377414,0,213,Strasbourg,Alternance,main_nsga2_vs_nsga3_150profiles
STU_0594,eco_conscious,long,9.09,28,10.59,0,8.599088382852308,0,593,Strasbourg,Alternance,main_nsga2_vs_nsga3_150profiles
STU_0706,eco_conscious,long,10.9,19,8.13,0,15.450513742891356,0,705,Nancy,Alternance,main_nsga2_vs_nsga3_150profiles
STU_0016,eco_conscious,long,20.3,24,18.57,0,16.225149811637017,0,15,Nancy,Student,main_nsga2_vs_nsga3_150profiles
STU_0184,eco_conscious,long,5.67,40,6.13,0,12.82046008065466,1,183,Strasbourg,Alternance,main_nsga2_vs_nsga3_150profiles
STU_0155,eco_conscious,long,6.01,20,6.19,0,14.504018946677597,0,154,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0021,eco_conscious,long,7.65,27,7.8,1,-3.9781484427268445,0,20,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0677,eco_conscious,long,5.37,51,4.38,1,28.89854049115904,0,676,Nancy,Alternance,main_nsga2_vs_nsga3_150profiles
STU_0141,eco_conscious,long,5.83,18,6.91,0,19.332581348876268,0,140,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0115,eco_conscious,long,5.21,19,5.05,0,10.961547905680838,0,114,Strasbourg,Alternance,main_nsga2_vs_nsga3_150profiles
STU_0731,eco_conscious,long,6.37,25,9.38,0,9.254238521037127,1,730,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0249,eco_conscious,medium,2.84,25,5.35,0,8.062463248020507,0,248,Nancy,Student,main_nsga2_vs_nsga3_150profiles
STU_0678,eco_conscious,medium,2.86,22,2.38,0,18.82121957045199,0,677,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0096,eco_conscious,medium,2.33,25,4.59,0,8.975471330197008,0,95,Strasbourg,Alternance,main_nsga2_vs_nsga3_150profiles
STU_0432,eco_conscious,medium,2.61,48,4.75,1,15.472462650172524,0,431,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0108,eco_conscious,medium,3.42,21,4.23,0,14.247338224261592,0,107,Other,Student,main_nsga2_vs_nsga3_150profiles
STU_0293,eco_conscious,medium,3.34,28,3.82,1,25.538438329489956,0,292,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0583,eco_conscious,medium,2.22,34,2.76,0,-2.675217239907795,0,582,Strasbourg,Alternance,main_nsga2_vs_nsga3_150profiles
STU_0292,eco_conscious,medium,4.4,22,6.54,0,4.121495304708171,0,291,Strasbourg,Alternance,main_nsga2_vs_nsga3_150profiles
STU_0173,eco_conscious,medium,3.84,18,6.5,0,9.538168900038283,0,172,Strasbourg,Alternance,main_nsga2_vs_nsga3_150profiles
STU_0547,eco_conscious,medium,2.79,18,3.55,0,13.076008965608523,0,546,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0258,eco_conscious,medium,2.37,23,2.63,0,22.83743372322024,0,257,Strasbourg,Alternance,main_nsga2_vs_nsga3_150profiles
STU_0028,eco_conscious,medium,4.68,24,4.48,0,28.380756179474517,0,27,Strasbourg,Alternance,main_nsga2_vs_nsga3_150profiles
STU_0578,eco_conscious,short,1.31,18,3.25,0,1.3950453826350788,0,577,Other,Alternance,main_nsga2_vs_nsga3_150profiles
STU_0748,eco_conscious,short,1.73,24,3.02,0,3.708853319330423,0,747,Strasbourg,Alternance,main_nsga2_vs_nsga3_150profiles
STU_0159,eco_conscious,short,1.33,21,1.0,1,12.232261457709168,0,158,Strasbourg,Employee,main_nsga2_vs_nsga3_150profiles
STU_0725,eco_conscious,short,1.99,21,4.75,0,25.50964385887385,0,724,Nancy,Alternance,main_nsga2_vs_nsga3_150profiles
STU_0254,eco_conscious,short,1.96,31,2.08,0,15.78497614724933,0,253,Strasbourg,Employee,main_nsga2_vs_nsga3_150profiles
STU_0386,eco_conscious,short,1.58,25,3.4,1,5.2212986036236515,0,385,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0596,eco_conscious,short,1.29,33,6.62,0,18.523683353352745,0,595,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0060,eco_conscious,short,1.13,24,1.47,0,14.483087427395336,0,59,Other,Employee,main_nsga2_vs_nsga3_150profiles
STU_0643,eco_conscious,short,1.91,23,1.97,0,21.330491528596532,0,642,Strasbourg,Alternance,main_nsga2_vs_nsga3_150profiles
STU_0526,eco_conscious,short,1.73,21,4.41,0,22.35898249963542,0,525,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0415,eco_conscious,short,1.45,30,1.76,0,25.053660747022377,0,414,Strasbourg,Alternance,main_nsga2_vs_nsga3_150profiles
STU_0095,eco_conscious,short,1.86,45,4.11,0,9.968338068715116,1,94,Strasbourg,Employee,main_nsga2_vs_nsga3_150profiles
STU_0653,time_sensitive,long,6.28,19,8.34,0,20.632968568528423,0,652,Strasbourg,Alternance,main_nsga2_vs_nsga3_150profiles
STU_0628,time_sensitive,long,5.43,24,6.59,0,16.614747763104184,0,627,Strasbourg,Alternance,main_nsga2_vs_nsga3_150profiles
STU_0202,time_sensitive,long,9.55,19,11.38,1,11.4567476109723,0,201,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0522,time_sensitive,long,5.38,24,6.81,0,24.215846657584347,0,521,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0110,time_sensitive,long,7.01,19,8.25,1,23.713518631428013,0,109,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0524,time_sensitive,long,12.58,32,14.11,0,27.46868967630418,0,523,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0532,time_sensitive,long,18.27,23,17.82,1,21.73839388674218,0,531,Strasbourg,Alternance,main_nsga2_vs_nsga3_150profiles
STU_0361,time_sensitive,long,8.01,18,10.99,1,25.48240125316352,0,360,Nancy,Student,main_nsga2_vs_nsga3_150profiles
STU_0329,time_sensitive,long,6.74,25,4.8,0,18.34075570633568,0,328,Strasbourg,Alternance,main_nsga2_vs_nsga3_150profiles
STU_0507,time_sensitive,long,10.57,20,12.11,0,18.191607633541366,0,506,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0195,time_sensitive,long,16.27,35,16.57,0,9.022658397965934,0,194,Strasbourg,Alternance,main_nsga2_vs_nsga3_150profiles
STU_0118,time_sensitive,long,5.55,19,5.37,1,11.38990395981568,0,117,Strasbourg,Employee,main_nsga2_vs_nsga3_150profiles
STU_0065,time_sensitive,medium,3.02,42,1.75,0,21.153706628107276,1,64,Strasbourg,Alternance,main_nsga2_vs_nsga3_150profiles
STU_0468,time_sensitive,medium,2.09,18,6.21,1,11.470418363350497,0,467,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0387,time_sensitive,medium,3.39,18,5.32,1,19.605785254876686,0,386,Strasbourg,Student,main_nsga2_vs_nsga3_150profiles
STU_0459,time_sensitive,medium,3.55,22,6.26,1,15.189016762422646,0,458,Nancy,Alternance,main_nsga2_vs_nsga3_150profiles
STU_0154,time_sensitive,medium,2.64,18,2.91,0,19.794261419649825,0,153,Nancy,Student,main_nsga2_vs_nsga3_150profiles
STU_0330,time_sensitive,medium,2.97,23,3.02,0,6.354998660788817,0,329,Strasbourg,Alternance,main_nsga2_vs_nsga3_150profiles
