archetype,algorithm,mean_norm_hv,std_norm_hv,n_runs
comfort_seeking,moead,0.2482272970613253,0.0682669043973616,60
comfort_seeking,nsga2,0.9701453365708879,0.013483317434557008,1080
comfort_seeking,nsga3,0.9934719343353171,0.004175989168342548,1080
comfort_seeking,smsemoa,0.9558708096366565,0.02175298689288004,30
cost_sensitive,moead,0.28724908144717953,0.10909367610685401,90
cost_sensitive,nsga2,0.9769998339984611,0.01658425163480887,1500
cost_sensitive,nsga3,0.9926430372793655,0.005299637365996582,1500
cost_sensitive,smsemoa,0.962805201524726,0.019403741110036943,45
eco_conscious,moead,0.3114439993786355,0.15354945191528493,80
eco_conscious,nsga2,0.9666617549290508,0.017316370523047145,1130
eco_conscious,nsga3,0.9920022565623848,0.005869809918836932,1130
eco_conscious,smsemoa,0.9349704406544825,0.04212700559180371,40
time_sensitive,moead,0.29322185739183854,0.10854514374748488,70
time_sensitive,nsga2,0.9729423595841542,0.016441523025654683,1390
time_sensitive,nsga3,0.9901864321114606,0.006548392938563697,1390
time_sensitive,smsemoa,0.9640633106024502,0.017657625585569704,35
