plan,profile_id,algo_a,algo_b,n,mean_diff,cohen_dz_per_profile
main_nsga2_vs_nsga3_150profiles,STU_0011,nsga2,nsga3,30,-0.005821977711003782,-1.051639459532479
main_nsga2_vs_nsga3_150profiles,STU_0013,nsga2,nsga3,30,-0.005971114380469219,-0.989897504075801
main_nsga2_vs_nsga3_150profiles,STU_0021,nsga2,nsga3,30,-0.03671201924196977,-3.427117503280231
main_nsga2_vs_nsga3_150profiles,STU_0023,nsga2,nsga3,30,-0.037436089915372076,-2.367971169153295
main_nsga2_vs_nsga3_150profiles,STU_0027,nsga2,nsga3,30,-0.0034764163222697634,-0.489090565845899
main_nsga2_vs_nsga3_150profiles,STU_0030,nsga2,nsga3,30,-0.07318630052083593,-3.383743144480188
main_nsga2_vs_nsga3_150profiles,STU_0033,nsga2,nsga3,30,-0.024019951389851555,-1.9626263729619482
main_nsga2_vs_nsga3_150profiles,STU_0034,nsga2,nsga3,30,-0.017890312996114977,-1.8130520842804814
main_nsga2_vs_nsga3_150profiles,STU_0036,nsga2,nsga3,30,-0.019378265548305754,-3.133767523313885
main_nsga2_vs_nsga3_150profiles,STU_0037,nsga2,nsga3,30,-0.0022947991169713577,-0.7542153131287356
main_nsga2_vs_nsga3_150profiles,STU_0045,nsga2,nsga3,30,-0.03903689604470397,-2.9846617431093434
main_nsga2_vs_nsga3_150profiles,STU_0047,nsga2,nsga3,30,-0.032006759236431113,-2.903410945270385
main_nsga2_vs_nsga3_150profiles,STU_0054,nsga2,nsga3,30,-0.01029903523813538,-1.741544827233363
main_nsga2_vs_nsga3_150profiles,STU_0059,nsga2,nsga3,30,-0.010510415324092045,-1.641073982850354
main_nsga2_vs_nsga3_150profiles,STU_0069,nsga2,nsga3,30,-0.012297707174501816,-1.7575554147088248
main_nsga2_vs_nsga3_150profiles,STU_0072,nsga2,nsga3,30,-0.037682468630167595,-1.7943735562174423
main_nsga2_vs_nsga3_150profiles,STU_0073,nsga2,nsga3,30,-0.009114970874776447,-1.1581980989213663
main_nsga2_vs_nsga3_150profiles,STU_0076,nsga2,nsga3,30,-0.028821457666947835,-2.7260273778855817
main_nsga2_vs_nsga3_150profiles,STU_0081,nsga2,nsga3,30,-0.01986776491264631,-2.1301370934366326
main_nsga2_vs_nsga3_150profiles,STU_0087,nsga2,nsga3,30,-0.03339133540984312,-4.121027772755001
main_nsga2_vs_nsga3_150profiles,STU_0091,nsga2,nsga3,30,-0.021841230605442682,-2.6764834607339663
main_nsga2_vs_nsga3_150profiles,STU_0093,nsga2,nsga3,30,-0.017349303717339046,-1.9790333264134037
main_nsga2_vs_nsga3_150profiles,STU_0107,nsga2,nsga3,30,-0.05565454544004343,-4.851116910276334
