generation,hypervolume,igd,spacing,feasible_ratio,n_feasible,population_size,profile_id,algorithm,seed,runtime_sec
1,4690.988428598523,,0.14411078860653428,0.7857142857142857,132,168,STU_0548,nsga2,15,29.83192849997431
2,4738.115578435731,,0.11929838289565647,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
3,4838.446319047658,,0.11541617308327941,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
4,4938.46730786948,,0.1303636597199385,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
5,4985.835885946268,,0.11712620245190061,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
6,5079.29855809608,,0.09091761004855359,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
7,5116.233542518961,,0.09794462557945705,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
8,5179.851620329596,,0.08108265420751752,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
9,5280.436684095218,,0.09006107745034506,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
10,5293.1280424435045,,0.11300029785060653,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
11,5361.755779340645,,0.07754185551380934,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
12,5390.9192906785065,,0.05744173713741259,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
13,5425.607259812066,,0.049868412131421375,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
14,5437.424771646589,,0.08678349918126452,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
15,5462.432337729968,,0.07669557647127867,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
16,5507.748076716466,,0.2453176715922649,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
17,5525.325156312056,,0.08660676724545459,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
18,5533.127847811598,,0.09249924452953509,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
19,5539.918438410206,,0.08647549902817123,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
20,5549.60430891826,,0.10420956422946902,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
21,5553.365952315111,,0.08418891836773831,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
22,5579.961918130596,,0.06912644750894552,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
23,5620.719878114847,,0.06736643324739487,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
24,5620.937435852691,,0.05987826326860615,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
25,5619.989489375759,,0.057567187069508446,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
26,5620.106871807594,,0.05639131003029971,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
27,5620.962152578693,,0.059858627931326534,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
28,5633.202948100599,,0.05908068997697928,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
29,5635.851121186635,,0.056684305161155,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
30,5623.906596288432,,0.07201077382494224,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
31,5624.860273145901,,0.07669049995263914,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
32,5631.222186426534,,0.0692177421756548,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
33,5631.395990723786,,0.06577533509290644,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
34,5634.44789053933,,0.06890322497809527,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
35,5640.068607197273,,0.06704288833702594,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
36,5639.516829185691,,0.061035788016012824,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
37,5631.529214984877,,0.06956215034631887,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
38,5640.633464866322,,0.06814120585035059,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
39,5637.948745892435,,0.06168639735711541,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
40,5638.650317859136,,0.07355463762537032,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
41,5640.387269898384,,0.06596413931598742,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
42,5643.164772991113,,0.05802673967722494,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
43,5644.487865592506,,0.07205332659357337,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
44,5652.50764261137,,0.2468351090119192,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
45,5652.394611278038,,0.2435883287102289,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
46,5652.174473252288,,0.2450617616206534,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
47,5651.848104389233,,0.24535173033623378,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
48,5652.444004032017,,0.2444915399090185,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
49,5653.4104630882985,,0.24610980509112604,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
50,5653.3467756246655,,0.2442246189143905,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
51,5652.679896617969,,0.23983589967987937,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
52,5651.531515667113,,0.23776448019433008,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
53,5645.095264933615,,0.2380215928286264,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
54,5646.669932893512,,0.23875394679306094,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
55,5638.689643146645,,0.060517898635670975,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
56,5632.193938377235,,0.05796408020394269,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
57,5632.748604489725,,0.06545230150155314,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
58,5632.853881714643,,0.06954166015354508,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
59,5658.46657359201,,0.08056374883539201,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
60,5658.492587810109,,0.07958321538067378,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
61,5662.893514805868,,0.06368537237127979,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
62,5636.8074350026045,,0.06877918698759786,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
63,5640.340468717165,,0.07788230120196356,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
64,5650.21636762888,,0.0743972594266,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
65,5637.0978850942365,,0.06752273542591708,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
66,5636.02474648253,,0.0619917990308374,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
67,5629.625545768653,,0.0654898259668782,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
68,5631.274493239473,,0.06876889562249447,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
69,5632.089583952988,,0.06970459157585418,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
70,5631.570395012586,,0.06841907154918835,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
71,5650.287618961627,,0.06803428041666702,1.0,168,168,STU_0548,nsga2,15,29.83192849997431
