plan_name,dimension,level,count
main_nsga2_vs_nsga3_150profiles,archetype,cost_sensitive,44
main_nsga2_vs_nsga3_150profiles,archetype,time_sensitive,41
main_nsga2_vs_nsga3_150profiles,archetype,eco_conscious,33
main_nsga2_vs_nsga3_150profiles,archetype,comfort_seeking,32
main_nsga2_vs_nsga3_150profiles,trip_distance_bin,medium,75
main_nsga2_vs_nsga3_150profiles,trip_distance_bin,long,56
main_nsga2_vs_nsga3_150profiles,trip_distance_bin,short,19
main_nsga2_vs_nsga3_150profiles,campus,Strasbourg,116
main_nsga2_vs_nsga3_150profiles,campus,Nancy,26
main_nsga2_vs_nsga3_150profiles,campus,Other,8
main_nsga2_vs_nsga3_150profiles,student_status,Student,75
main_nsga2_vs_nsga3_150profiles,student_status,Alternance,63
main_nsga2_vs_nsga3_150profiles,student_status,Employee,12
