generation,hypervolume,igd,spacing,feasible_ratio,n_feasible,population_size,profile_id,algorithm,seed,runtime_sec
1,6179.148047811447,,0.14963687528473588,0.9404761904761905,158,168,STU_0047,nsga2,15,50.21083270898089
2,6238.094690181766,,0.09507115785193981,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
3,6257.197332544971,,0.13893246081700067,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
4,6270.345298882876,,0.09064123338390402,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
5,6330.914124954103,,0.10464053965764812,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
6,6388.978855878856,,0.0895074443526223,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
7,6396.7830746372965,,0.07345368879519275,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
8,6421.451795724963,,0.06757563707530416,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
9,6438.776478677659,,0.075799675110899,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
10,6458.328315571971,,0.07246683391014362,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
11,6468.726842596359,,0.07665710495423164,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
12,6469.989057176939,,0.07651373891554436,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
13,6482.256864016521,,0.07207341458206186,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
14,6496.545836344563,,0.07976629475712449,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
15,6497.04091836318,,0.07332095239887497,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
16,6498.14589160927,,0.08141173955211338,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
17,6499.463111106448,,0.08168359490440026,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
18,6501.283728984039,,0.05988671080456141,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
19,6505.47131428713,,0.08228541680358609,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
20,6517.703547296211,,0.09402260177516189,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
21,6530.929615915191,,0.0823779473626212,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
22,6531.79570096753,,0.08209024063608335,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
23,6534.316781841546,,0.08346014674129743,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
24,6533.950603116782,,0.07804157415265058,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
25,6534.781693879607,,0.08142713847619111,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
26,6533.9718942952695,,0.0873174424652505,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
27,6538.034155491452,,0.08955382656586679,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
28,6540.417170635197,,0.07342125961535473,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
29,6540.098523771254,,0.0790665709680136,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
30,6539.853858428858,,0.07422746046135748,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
