plan_name,dimension,level,count
representative_curves_10profiles,archetype,cost_sensitive,3
representative_curves_10profiles,archetype,time_sensitive,3
representative_curves_10profiles,archetype,comfort_seeking,2
representative_curves_10profiles,archetype,eco_conscious,2
representative_curves_10profiles,trip_distance_bin,medium,6
representative_curves_10profiles,trip_distance_bin,long,4
representative_curves_10profiles,campus,Strasbourg,7
representative_curves_10profiles,campus,Nancy,3
representative_curves_10profiles,student_status,Student,5
representative_curves_10profiles,student_status,Employee,4
representative_curves_10profiles,student_status,Alternance,1
