algorithm,generation,feasible_ratio
nsga2,1,0.570721098781863
nsga2,2,0.6088177684367628
nsga2,3,0.7587774077409274
nsga2,4,0.8089296462039577
nsga2,5,0.8405988466402727
nsga2,6,0.8570611443098154
nsga2,7,0.866815648304198
nsga2,8,0.8727556370686141
nsga2,9,0.8768409283676459
nsga2,10,0.8796236630206097
nsga2,11,0.8818033111926241
nsga2,12,0.8834087879889406
nsga2,13,0.884737505920712
nsga2,14,0.8859409250630624
nsga2,15,0.8869378077393344
nsga2,16,0.8877543152352312
nsga2,17,0.8884262472048732
nsga2,18,0.8890017954903451
nsga2,19,0.889520890475089
nsga2,20,0.8899559939636276
nsga2,21,0.8903814590837492
nsga2,22,0.8907711245497505
nsga2,23,0.8910864368879635
nsga2,24,0.8914237797825584
nsga2,25,0.8917046693764251
nsga2,26,0.8919704129627795
nsga2,27,0.8922210105416212
nsga2,28,0.8924316777370213
nsga2,29,0.892625822015135
nsga2,30,0.892808951015058
nsga2,31,0.8929838185563377
nsga2,32,0.8931848473833207
nsga2,33,0.893343192007314
nsga2,34,0.8934932751726644
nsga2,35,0.8936474890673365
nsga2,36,0.8938085875108776
nsga2,37,0.8939738166837403
nsga2,38,0.894101869292709
nsga2,39,0.8942092682550697
nsga2,40,0.8943249286760737
nsga2,41,0.894426819999339
nsga2,42,0.8945287113226044
nsga2,43,0.8946168335481313
nsga2,44,0.894704955773658
nsga2,45,0.8948027163676018
nsga2,46,0.8948825771344855
nsga2,47,0.8949555533525
nsga2,48,0.895013383563002
nsga2,49,0.8950808521419209
nsga2,50,0.8951510745403876
nsga2,51,0.895224050758402
nsga2,52,0.895290142427547
nsga2,53,0.8953465957282751
nsga2,54,0.8953920337508123
nsga2,55,0.895463633059053
nsga2,56,0.8955462476454843
nsga2,57,0.895635746780785
nsga2,58,0.895721115186764
nsga2,59,0.8957982221341
nsga2,60,0.8958794598107575
nsga2,61,0.895941420750581
nsga2,62,0.8959964971415354
nsga2,63,0.8960446889836202
nsga2,64,0.8960832424572883
nsga2,65,0.8961383188482425
nsga2,66,0.896190641419649
nsga2,67,0.8962305718030908
nsga2,68,0.8962911558331406
nsga2,69,0.8963613782316072
nsga2,70,0.8964081931639183
nsga2,71,0.8964536311864556
nsga2,72,0.8965142152165053
nsga2,73,0.8965720454270072
nsga2,74,0.8966133527202229
nsga2,75,0.8966629214720818
nsga2,76,0.896708359494619
nsga2,77,0.8967579282464778
nsga2,78,0.8968074969983367
nsga2,79,0.8968460504720046
nsga2,80,0.8968928654043158
nsga2,81,0.8969300419682099
nsga2,82,0.8969548263441393
nsga2,83,0.8969947567275812
nsga2,84,0.8970222949230582
nsga2,85,0.8970594714869524
nsga2,86,0.8970994018703943
nsga2,87,0.8971434629831576
nsga2,88,0.8971916548252427
nsga2,89,0.8972302082989105
nsga2,90,0.8972673848628047
nsga2,91,0.897312822885342
nsga2,92,0.897341737990593
nsga2,93,0.8973885529229041
nsga2,94,0.8974188449379289
nsga2,95,0.897456021501823
nsga2,96,0.8974821827875263
nsga2,97,0.897494574975491
nsga2,98,0.8975055902536818
nsga2,99,0.8975221131709682
nsga2,100,0.8975441437273499
nsga2,101,0.8975716819228269
nsga2,102,0.8975895817498871
nsga2,103,0.8976212506746858
