generation,hypervolume,igd,spacing,feasible_ratio,n_feasible,population_size,profile_id,algorithm,seed,runtime_sec,os,python_version,executor_seed
1,4554.785534307298,,3.987452151511748,0.5,4,8,STU_0598,nsga2,3606268476,0.12023266701726243,Darwin,3.11.7,3606268476
2,4561.846547879928,,0.7966667803787939,0.5,10,20,STU_0598,nsga2,3606268476,0.12023266701726243,Darwin,3.11.7,3606268476
3,4561.846547879928,,0.7966667803787939,0.5,10,20,STU_0598,nsga2,3606268476,0.12023266701726243,Darwin,3.11.7,3606268476
4,4561.900995924889,,0.5446781870779166,0.7,14,20,STU_0598,nsga2,3606268476,0.12023266701726243,Darwin,3.11.7,3606268476
5,4561.909845723867,,0.5831862918477441,0.8,16,20,STU_0598,nsga2,3606268476,0.12023266701726243,Darwin,3.11.7,3606268476
6,4561.909845723867,,0.5120993240100778,0.85,17,20,STU_0598,nsga2,3606268476,0.12023266701726243,Darwin,3.11.7,3606268476
7,4561.909845723867,,0.6181848911698019,1.0,20,20,STU_0598,nsga2,3606268476,0.12023266701726243,Darwin,3.11.7,3606268476
8,4561.909845723867,,0.5675747115712961,1.0,20,20,STU_0598,nsga2,3606268476,0.12023266701726243,Darwin,3.11.7,3606268476
9,4561.909845723867,,0.6334927234939152,1.0,20,20,STU_0598,nsga2,3606268476,0.12023266701726243,Darwin,3.11.7,3606268476
10,4590.88426400407,,0.43012844004214834,1.0,20,20,STU_0598,nsga2,3606268476,0.12023266701726243,Darwin,3.11.7,3606268476
