route_nodes,route_modes,n_edges,obj_1,obj_2,obj_3,obj_4,constraint_violation,feasible,profile_id,algorithm,seed,runtime_sec
N0346|N0276|N0321|N0223|N0235|N0156|N0158,bike|bus|bus|bus|bus|bus,6,13.029997793733457,1.9142099845561342,0.16263887224684292,0.050826375623169384,0.0,True,STU_0468,nsga2,3675747774,0.09492016601143405
N0346|N0281|N0321|N0223|N0235|N0156|N0158,bus|bus|bus|bus|bus|bus,6,14.0,1.9,0.18606310769669512,0.026762682930213777,0.0,True,STU_0468,nsga2,3675747774,0.09492016601143405
N0346|N0281|N0276|N0321|N0223|N0235|N0156|N0158,bus|bus|bus|bus|bus|bus|bus,7,14.0,1.9,0.21716122322457485,0.024578637304236817,0.0,True,STU_0468,nsga2,3675747774,0.09492016601143405
N0346|N0276|N0321|N0223|N0235|N0156|N0158,tram|bus|bus|bus|bus|bus,6,15.10344827586207,3.8,0.1765955110543707,0.06352443938877839,0.0068965517241379596,False,STU_0468,nsga2,3675747774,0.09492016601143405
N0346|N0276|N0321|N0223|N0235|N0156|N0158,bike|bus|bus|bus|bus|tram,6,15.629997793733457,3.8142099845561344,0.14758538070382307,0.058434367661495235,0.04199985291556381,False,STU_0468,nsga2,3675747774,0.09492016601143405
N0346|N0276|N0281|N0321|N0223|N0235|N0156|N0158,bike|car|car|car|bus|bus|bus,7,16.14651891199878,2.292347880238993,0.29630483405473745,0.040772328223432464,0.07643459413325195,False,STU_0468,nsga2,3675747774,0.09492016601143405
N0346|N0281|N0321|N0223|N0235|N0156|N0158,bus|bus|bus|bus|bus|tram,6,16.6,3.8,0.17100961615367527,0.06506148422794567,0.10666666666666676,False,STU_0468,nsga2,3675747774,0.09492016601143405
N0346|N0281|N0276|N0321|N0223|N0235|N0156|N0158,bus|bus|bus|bus|bus|bus|tram,7,16.6,3.8,0.202107731681555,0.059409505122924755,0.10666666666666676,False,STU_0468,nsga2,3675747774,0.09492016601143405
N0346|N0276|N0281|N0321|N0223|N0235|N0156|N0158,bike|car|car|bus|bus|bus|bus,7,17.403015012071698,2.2021360737145073,0.2724148824509716,0.04387885741961095,0.1602010008047799,False,STU_0468,nsga2,3675747774,0.09492016601143405
N0346|N0276|N0321|N0223|N0235|N0156|N0158,tram|bus|bus|bus|bus|tram,6,17.70344827586207,5.699999999999999,0.16154201951135086,0.07138216618708848,0.18022988505747126,False,STU_0468,nsga2,3675747774,0.09492016601143405
N0346|N0276|N0281|N0321|N0223|N0235|N0156|N0158,tram|car|car|car|bus|bus|bus,7,18.21996939412739,4.178137895682859,0.31026147286226524,0.04567082412189172,0.21466462627515928,False,STU_0468,nsga2,3675747774,0.09492016601143405
N0346|N0276|N0281|N0321|N0223|N0235|N0156|N0158,bike|car|bus|bus|bus|bus|bus,7,18.715098046318573,2.0782243707586834,0.23547570472550736,0.04634762872421083,0.2476732030879049,False,STU_0468,nsga2,3675747774,0.09492016601143405
N0346|N0276|N0281|N0321|N0223|N0235|N0156|N0158,bike|car|car|car|bus|bus|tram,7,18.746518911998777,4.192347880238993,0.28125134251171763,0.04385720928231707,0.24976792746658513,False,STU_0468,nsga2,3675747774,0.09492016601143405
N0346|N0276|N0281|N0321|N0223|N0235|N0156|N0158,tram|car|car|bus|bus|bus|bus,7,19.47646549420031,4.087926089158373,0.28637152125849946,0.04939582728165581,0.2984310329466872,False,STU_0468,nsga2,3675747774,0.09492016601143405
N0346|N0276|N0321|N0223|N0235|N0156|N0158,walk|bus|bus|bus|bus|bus,6,17.16176740047239,1.9,0.16263887224684292,0.05048491447896375,0.2994492142867321,False,STU_0468,nsga2,3675747774,0.09492016601143405
N0346|N0276|N0321|N0223|N0235|N0156|N0158,bike|bus|car|bus|bus|bus,6,19.77350169366054,3.9044217910806203,0.18652882385060873,0.050124815976040904,0.3182334462440359,False,STU_0468,nsga2,3675747774,0.09492016601143405
N0346|N0276|N0281|N0321|N0223|N0235|N0156|N0158,bike|car|car|bus|bus|bus|tram,7,20.003015012071696,4.102136073714507,0.25736139090795174,0.047734354555614145,0.33353433413811306,False,STU_0468,nsga2,3675747774,0.09492016601143405
N0346|N0276|N0321|N0223|N0235|N0156|N0158,bike|bus|bike|bus|bus|bus,6,20.39541587056773,3.8237679110939737,0.13820107035534843,0.04847675689338715,0.3596943913711821,False,STU_0468,nsga2,3675747774,0.09492016601143405
N0346|N0281|N0276|N0321|N0223|N0235|N0156|N0158,bus|bus|bus|car|bus|bus|bus,7,20.74350389992708,3.8902118065244857,0.24105117482834068,0.050827809572136284,0.3829002599951387,False,STU_0468,nsga2,3675747774,0.09492016601143405
N0346|N0281|N0321|N0223|N0235|N0156|N0158,bus|bus|car|bus|bus|bus,6,20.74350389992708,3.8902118065244857,0.20995305930046093,0.05466308182354129,0.3829002599951387,False,STU_0468,nsga2,3675747774,0.09492016601143405
