trip_distance_bin,algorithm,mean_norm_hv,std_norm_hv,n_runs
long,moead,0.3232239211017766,0.13570904712494858,110
long,nsga2,0.971328685489823,0.013366868541333484,1910
long,nsga3,0.9939013561201019,0.004328703445903688,1910
long,smsemoa,0.9345664397006475,0.039240423760365954,55
medium,moead,0.30386411186629736,0.1314033308541521,130
medium,nsga2,0.9777646843926724,0.013835141324319683,2560
medium,nsga3,0.9910692816807577,0.005653052258754573,2560
medium,smsemoa,0.9644657813845366,0.02166504569338113,65
short,moead,0.22801864349116013,0.062479004146138405,60
short,nsga2,0.9631092302588108,0.023022447819587958,630
short,nsga3,0.9908477035872388,0.006921195834752368,630
short,smsemoa,0.9642501007285524,0.014800549931470716,30
