profile_id,archetype,trip_distance_bin,distance_km,age,budget_eur,rain,temperature_c,mobility_restriction,seed_offset,campus,student_status
STU_0287,comfort_seeking,long,11.89,24,13.45,0,16.721679814946704,0,286,Other,Student
STU_0036,comfort_seeking,long,8.32,22,8.9,0,28.281347216577046,0,35,Strasbourg,Student
STU_0182,comfort_seeking,medium,2.32,18,6.3,1,17.11753364256002,0,181,Strasbourg,Student
STU_0132,comfort_seeking,medium,3.46,20,6.85,1,11.105339703325267,0,131,Strasbourg,Student
STU_0346,comfort_seeking,medium,3.95,21,4.45,1,8.845063038295816,0,345,Strasbourg,Employee
STU_0030,comfort_seeking,short,1.64,34,3.74,0,11.02626642731444,0,29,Strasbourg,Alternance
STU_0618,cost_sensitive,long,6.28,34,3.23,0,17.74842222804962,0,617,Strasbourg,Alternance
STU_0081,cost_sensitive,long,13.5,24,14.81,0,14.311305655211678,0,80,Nancy,Employee
STU_0242,cost_sensitive,long,5.87,26,6.43,1,26.93499518798886,0,241,Strasbourg,Alternance
STU_0598,cost_sensitive,medium,4.11,20,3.96,0,12.376464450597037,0,597,Strasbourg,Student
STU_0597,cost_sensitive,medium,3.39,22,2.78,1,28.68980671784016,0,596,Strasbourg,Student
STU_0436,cost_sensitive,medium,2.6,20,4.05,0,19.582534712000037,0,435,Strasbourg,Student
STU_0716,cost_sensitive,medium,2.65,45,7.65,0,15.895588892367599,0,715,Strasbourg,Employee
STU_0027,cost_sensitive,short,1.5,25,1.0,0,21.446705810804236,0,26,Strasbourg,Alternance
STU_0260,cost_sensitive,short,1.77,18,2.64,0,2.665263259225007,0,259,Strasbourg,Student
STU_0127,eco_conscious,long,5.85,18,8.46,0,16.923795781142676,0,126,Strasbourg,Alternance
STU_0433,eco_conscious,long,6.68,25,5.78,0,21.70126057989473,0,432,Strasbourg,Student
STU_0076,eco_conscious,long,6.31,24,7.55,0,-0.2936600909446234,0,75,Strasbourg,Student
STU_0390,eco_conscious,medium,4.11,21,6.33,1,24.4285205424647,0,389,Strasbourg,Student
STU_0171,eco_conscious,medium,2.4,21,7.82,0,0.3680570991169958,0,170,Strasbourg,Employee
STU_0365,eco_conscious,medium,3.68,19,5.57,0,14.495331869439674,0,364,Strasbourg,Alternance
STU_0217,eco_conscious,short,1.9,22,1.7,0,18.716375088284817,0,216,Strasbourg,Student
STU_0368,eco_conscious,short,1.03,25,2.54,0,2.8151227216091943,0,367,Strasbourg,Student
STU_0522,time_sensitive,long,5.38,24,6.81,0,24.215846657584347,0,521,Strasbourg,Student
STU_0197,time_sensitive,long,6.26,23,5.12,0,23.26006206416907,0,196,Strasbourg,Student
STU_0302,time_sensitive,long,6.12,32,9.2,0,16.71900288954163,0,301,Strasbourg,Student
STU_0175,time_sensitive,medium,3.2,26,3.41,0,14.308648983847336,0,174,Nancy,Student
STU_0243,time_sensitive,medium,2.62,18,5.16,0,15.048216929547356,0,242,Strasbourg,Student
STU_0023,time_sensitive,medium,4.15,30,4.84,1,23.50180074609549,1,22,Strasbourg,Alternance
STU_0244,time_sensitive,short,1.52,23,4.66,0,5.98124815447359,0,243,Strasbourg,Student
