profile_id,archetype,trip_distance_bin,distance_km,age,budget_eur,max_travel_time_min,max_walking_distance_km,mobility_restriction,seed_offset,campus,student_status,rain,temperature_c,origin_node,dest_node,od_distance_km,run_plan
STU_0287,comfort_seeking,long,11.9,21.5,13.4,75.0,1.5,0,286,University,Student,0,21.0,N0513,N0156,10.160066916848557,main_pi_nsga3_vs_nsga2_150profiles
STU_0647,comfort_seeking,long,6.7,30.5,9.6,45.0,1.7,0,646,University,Student,0,21.0,N0351,N0041,6.691934738018459,main_pi_nsga3_vs_nsga2_150profiles
STU_0510,comfort_seeking,long,9.5,21.5,8.8,60.0,1.0,0,509,University,Student,0,21.0,N0513,N0426,9.305171312239228,main_pi_nsga3_vs_nsga2_150profiles
STU_0422,comfort_seeking,long,6.6,21.5,8.1,40.0,1.2,0,421,University,Student,0,21.0,N0485,N0100,6.577559102720819,main_pi_nsga3_vs_nsga2_150profiles
STU_0442,comfort_seeking,long,8.1,21.5,9.8,55.0,0.7,0,441,University,Student,0,21.0,N0441,N0230,8.108417314411556,main_pi_nsga3_vs_nsga2_150profiles
STU_0569,comfort_seeking,long,6.8,30.5,3.6,35.0,1.2,0,568,University,Student,0,21.0,N0010,N0124,6.819127282475765,main_pi_nsga3_vs_nsga2_150profiles
STU_0034,comfort_seeking,long,5.4,21.5,5.9,35.0,0.9,0,33,University,Student,0,21.0,N0207,N0346,5.398471678911251,main_pi_nsga3_vs_nsga2_150profiles
STU_0632,comfort_seeking,long,5.5,21.5,7.2,40.0,1.0,0,631,University,Student,0,21.0,N0473,N0050,5.4859671089392545,main_pi_nsga3_vs_nsga2_150profiles
STU_0036,comfort_seeking,long,8.3,21.5,8.9,60.0,1.2,0,35,University,Student,0,16.0,N0540,N0226,8.236714360443901,main_pi_nsga3_vs_nsga2_150profiles
STU_0649,comfort_seeking,long,6.8,21.5,9.9,40.0,0.9,0,648,University,Student,0,21.0,N0362,N0383,6.747631570396187,main_pi_nsga3_vs_nsga2_150profiles
STU_0726,comfort_seeking,long,9.1,21.5,8.6,50.0,1.5,0,725,University,Student,0,21.0,N0540,N0369,9.091466731421033,main_pi_nsga3_vs_nsga2_150profiles
